SampleID	A01	A02	A03	A04	A05	A06	A07	A08	A09	B10	B11	B12	B13	B14	B15	B16	B17	B18	C19	C20	C21	C22	C23	C24	C25	C26	C27
Unassigned;Other;Other;Other;Other	0.000271812992661	0.000271812992661	0.000116491282569	0.000465965130276	0.000660117267891	0.000116491282569	0.000116491282569	0.000543625985322	0.000271812992661	7.7660855046e-05	0.000465965130276	0.000349473847707	0.00163087795597	7.7660855046e-05	0.000660117267891	0.000427134702753	0.0	0.000465965130276	0.000116491282569	0.000349473847707	0.000155321710092	0.000543625985322	0.000155321710092	0.000349473847707	0.000155321710092	0.000232982565138	0.000116491282569
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__SJA-36;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0.000116491282569	0.0	3.8830427523e-05	0.00104842154312	0.000194152137615	0.000310643420184	3.8830427523e-05	0.00178619966606	3.8830427523e-05	0.000116491282569	0.000155321710092	3.8830427523e-05	0.0	3.8830427523e-05	7.7660855046e-05	3.8830427523e-05	0.0	3.8830427523e-05	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.00683415524405	0.000698947695414	0.00427134702753	0.00931930260552	0.00279579078166	0.00881450704772	0.00166970838349	0.00108725197064	0.00267929949909	0.00128140410826	0.00310643420184	0.00570807284588	0.00531976857065	0.0048926338679	0.00528093814313	0.00139789539083	0.00232982565138	0.00198035180367	0.00415485574496	0.000698947695414	0.00473731215781	0.00349473847707	0.00512561643304	0.00163087795597	0.0015143866734	0.00155321710092	0.000893099833029
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.0242301867744	0.00850386362754	0.0106783675688	0.0102124024386	0.00190269094863	0.0218615306955	0.00947462431561	0.012619888945	0.0766900943579	0.0120762629597	0.00493146429542	0.0213955655652	0.0165029316973	0.0291228206423	0.00862035491011	0.00683415524405	0.0192598920514	0.00283462120918	0.00896982875781	0.0185221139285	0.0185997747835	0.0162311187046	0.0256669125927	0.0102124024386	0.00749427251194	0.00493146429542	0.0128917019376
k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14;f__	3.8830427523e-05	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__	0.0114549761193	0.00446549916515	0.000854269405506	0.026132877723	0.0232982565138	0.0154156797266	0.011804449967	0.0176290140954	0.00275696035413	0.00411602531744	0.0348308934881	0.0171630489652	0.00357239933212	0.000931930260552	0.0206189570147	0.0326563895468	0.00209684308624	0.0177843358055	0.00873684619268	0.021084922145	0.000155321710092	0.00601871626607	0.00108725197064	0.0033782471945	0.00225216479633	0.0043878383101	0.0018638605211
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.0382479711102	0.0126587193725	0.00664000310643	0.0601095018056	0.0323069156991	0.0556051722129	0.0162311187046	0.02947229449	0.010173572011	0.0392963926533	0.0351027064808	0.0408107793267	0.0517609598882	0.0104065545762	0.02947229449	0.0472566302955	0.0246573214771	0.0382868015377	0.0164252708422	0.0284627033744	0.0165805925523	0.0260163864404	0.00838737234497	0.0115714674019	0.0132023453578	0.0158816448569	0.00780491593212
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	0.0141342756184	0.00508678600551	0.00260163864404	0.0119986021046	0.00865918533763	0.00706713780919	0.00594105541102	0.0120374325321	0.00477614258533	0.00679532481653	0.0116879586844	0.00473731215781	0.00660117267891	0.00291228206423	0.00761076379451	0.00636819011377	0.00399953403487	0.00442666873762	0.0274142818312	0.0288898380771	0.0116879586844	0.00951345474314	0.00807672892479	0.0114938065468	0.00904748961286	0.0118432803945	0.00943579388809
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	0.000349473847707	0.00038830427523	0.000116491282569	0.000194152137615	0.000349473847707	0.000194152137615	0.0	7.7660855046e-05	0.0	0.000155321710092	0.000504795557799	0.000271812992661	0.0020191822312	0.000232982565138	7.7660855046e-05	0.000310643420184	0.000155321710092	0.000232982565138	0.000194152137615	0.00120374325321	0.000310643420184	0.000155321710092	3.8830427523e-05	0.000194152137615	3.8830427523e-05	7.7660855046e-05	0.00104842154312
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae	0.0391799013707	0.0250067953248	0.0103288937211	0.0384421232478	0.0338989632276	0.0302877334679	0.0192598920514	0.0328505416845	0.0130858540753	0.0369665670019	0.0196093658991	0.0250456257523	0.0250456257523	0.0142507669009	0.0306760377432	0.0341319457927	0.0331223546771	0.0328117112569	0.0411990836019	0.0328505416845	0.0115714674019	0.0307925290257	0.0181338096532	0.0192987224789	0.0158039840019	0.0361511280239	0.0177066749505
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7	0.375956199278	0.241292276628	0.306255581874	0.299848561333	0.190696229565	0.327573486584	0.347998291461	0.410864753621	0.397429425698	0.152603580165	0.260086203549	0.186114239118	0.246495553916	0.224051566808	0.237486894731	0.263619772454	0.158389313866	0.210926882305	0.334135828835	0.408263114977	0.318293014406	0.377936551081	0.360346367414	0.240554498505	0.195627693861	0.174348619578	0.259969712267
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__SB-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	3.8830427523e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]	0.0136294800606	0.0128140410826	0.00613520754864	0.0158039840019	0.0238030520716	0.0168135751175	0.0124645672349	0.020191822312	0.00706713780919	0.00497029472294	0.0110666718441	0.00896982875781	0.00761076379451	0.00213567351377	0.0302100726129	0.0153380188716	0.00621286840368	0.0163476099872	0.020191822312	0.0167359142624	0.00260163864404	0.0318409505689	0.0072612899468	0.0155321710092	0.0114549761193	0.0107560284239	0.00718362909176
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]	0.0728847124607	0.0552945287928	0.0212014134276	0.0262881994331	0.0576631848717	0.0436842309634	0.00500912515047	0.013512988778	0.00559158156331	0.022715800101	0.0703607346717	0.0129693627927	0.0436454005359	0.032967032967	0.0401118316313	0.081077932668	0.030443055178	0.0228322913835	0.0614685667689	0.172251776492	0.0577796761542	0.0630606142974	0.0132411757853	0.0102512328661	0.00799906806974	0.00485380344038	0.0342096066478
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae]	0.0	0.0	0.0	3.8830427523e-05	0.0	3.8830427523e-05	0.0	0.000737778122937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
